YYYY-MM,	flow_cms,	fraction_gauged,	total_gauges
1956-01,	 592,	0.692,	 9.00
1956-02,	 840,	0.692,	 9.00
1956-03,	2383,	0.692,	 9.00
1956-04,	3535,	0.692,	 9.00
1956-05,	2201,	0.692,	 9.00
1956-06,	 906,	0.692,	 9.00
1956-07,	 419,	0.692,	 9.00
1956-08,	 359,	0.692,	 9.00
1956-09,	 602,	0.692,	 9.00
1956-10,	 382,	0.692,	 9.00
1956-11,	 468,	0.692,	 9.00
1956-12,	1118,	0.692,	 9.58
1957-01,	1207,	0.692,	10.00
1957-02,	1089,	0.692,	10.00
1957-03,	1575,	0.692,	10.00
1957-04,	1627,	0.693,	10.03
1957-05,	1047,	0.717,	10.55
1957-06,	 579,	0.717,	11.00
