YYYY-MM,	flow_cms,	fraction_gauged,	total_gauges
1946-09,	  43.1,	0.773,	19.00
1946-10,	  61.2,	0.773,	19.00
1946-11,	 119.9,	0.773,	19.00
1946-12,	 245.8,	0.773,	18.00
1947-01,	 839.9,	0.773,	18.00
1947-02,	 431.8,	0.773,	18.00
1947-03,	 748.4,	0.773,	18.00
1947-04,	1821.7,	0.773,	19.00
1947-05,	1272.7,	0.773,	19.00
1947-06,	1254.6,	0.773,	19.00
1947-07,	 197.2,	0.773,	19.00
1947-08,	 121.4,	0.773,	19.00
1947-09,	 191.9,	0.773,	19.00
1947-10,	 105.8,	0.845,	19.00
1947-11,	 199.9,	0.834,	18.00
1947-12,	 380.1,	0.834,	18.00
1948-01,	 449.0,	0.770,	16.03
1948-02,	 862.3,	0.768,	16.00
1948-03,	2016.6,	0.834,	18.48
1948-04,	 902.8,	0.834,	19.00
1948-05,	 859.9,	0.834,	18.00
1948-06,	 188.7,	0.834,	18.00
1948-07,	 155.9,	0.834,	17.00
1948-08,	 129.9,	0.873,	18.03
1948-09,	  75.4,	0.872,	17.93
1948-10,	  97.3,	0.856,	16.00
1948-11,	 306.0,	0.856,	16.00
1948-12,	 513.0,	0.856,	16.00
1949-01,	1377.8,	0.856,	16.00
1949-02,	1269.2,	0.856,	16.00
1949-03,	 787.0,	0.856,	16.00
1949-04,	 683.1,	0.856,	16.00
1949-05,	 493.9,	0.856,	16.00
1949-06,	 243.5,	0.856,	16.00
1949-07,	 138.7,	0.856,	16.00
1949-08,	  86.9,	0.856,	16.00
1949-09,	  93.0,	0.856,	16.00
1949-10,	 133.3,	0.856,	16.00
1949-11,	  94.9,	0.856,	16.00
1949-12,	 558.0,	0.856,	16.00
1950-01,	2516.6,	0.856,	16.00
1950-02,	1678.6,	0.856,	16.00
1950-03,	1848.3,	0.856,	16.00
1950-04,	1763.3,	0.936,	20.00
1950-05,	 531.3,	0.936,	20.00
1950-06,	 387.3,	0.936,	20.00
1950-07,	 195.3,	0.936,	20.00
1950-08,	 107.8,	0.936,	20.00
1950-09,	 340.9,	0.936,	20.00
1950-10,	 381.3,	0.936,	20.00
1950-11,	 824.9,	0.936,	20.00
1950-12,	1482.1,	0.936,	20.00
1951-01,	1403.3,	0.936,	20.00
1951-02,	1819.5,	0.936,	20.00
1951-03,	1662.4,	0.936,	20.00
1951-04,	1365.8,	0.936,	20.00
1951-05,	 725.5,	0.936,	20.00
1951-06,	 389.3,	0.936,	20.00
1951-07,	 312.8,	0.936,	20.00
1951-08,	  95.7,	0.936,	20.00
1951-09,	  86.5,	0.936,	20.00
1951-10,	 126.1,	0.936,	20.00
1951-11,	 543.8,	0.936,	20.00
1951-12,	 903.7,	0.936,	20.00
1952-01,	2417.0,	0.936,	20.00
1952-02,	1083.8,	0.936,	20.00
1952-03,	1571.6,	0.936,	20.00
1952-04,	1272.7,	0.936,	20.00
1952-05,	 622.1,	0.936,	20.00
1952-06,	 161.7,	0.936,	20.00
1952-07,	 102.7,	0.936,	20.00
1952-08,	  75.7,	0.936,	20.00
1952-09,	  78.6,	0.936,	20.00
1952-10,	  66.9,	0.936,	20.00
1952-11,	 123.9,	0.936,	20.00
1952-12,	 276.5,	0.936,	20.00
1953-01,	 522.0,	0.936,	20.00
1953-02,	 416.8,	0.936,	20.00
1953-03,	 959.8,	0.936,	20.00
1953-04,	 523.8,	0.936,	20.00
